ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006412	translation	118/748	324/4114	2.91126535323204e-16	4.24645705868803e-13	3.87108162753187e-13	MRPL43/MRPS24/RPL18/FTSJ1/MRPS34/MRPL22/RPS5/EIF3I/RPLP0/DHPS/MRPS18A/EIF3L/RPL3/EEF1D/RPS16/MRPL4/RPL18A/AIMP2/RPL28/RPL19/C1QBP/MRPL27/RPS13/GAPDH/MRPL18/HARS2/RPL24/EEF1B2/RPS15/MRPL37/MRPS15/EIF2B2/MRPS2/RPL5/TSFM/MRPS7/MRPS26/NGDN/NSUN5/EIF3G/RPL27/EEFSEC/CARS2/EIF4E2/TACO1/RPL35/RPS6/RPLP1/RPS2/EIF4A3/RPS11/RPL13A/RPS8/MRPL24/MRPL9/FARS2/RPL10/MRRF/RPL7A/RPS3/CDC123/OXA1L/EEF1A1/PINK1/RPL8/EIF4A1/RPL29/APEH/RPS14/METTL3/MRPL16/TRUB2/MRPL58/POLR2G/RPSA/CNBP/HARS1/RPS21/PPP1CA/TRMT112/MRPL57/MRPL11/RPL15/AURKAIP1/TYMS/TUFM/EIF3K/GADD45GIP1/PPA1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/RPL35A/COA3/MRPL40/MRPL21/RPS26/RPL37A/RPL12/RPL10A/RACK1/MRPL53/MRPL23/UBA52/TMA7/MRPS17/EIF6/MRPL20/EEF1G/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	118
GO:0032543	mitochondrial translation	48/748	83/4114	3.85159140953675e-16	4.24645705868803e-13	3.87108162753187e-13	MRPL43/MRPS24/MRPS34/MRPL22/MRPS18A/MRPL4/C1QBP/MRPL27/MRPL18/MRPL37/MRPS15/MRPS2/TSFM/MRPS7/MRPS26/TACO1/MRPL24/MRPL9/MRRF/OXA1L/MRPL16/TRUB2/MRPL58/HARS1/MRPL57/MRPL11/AURKAIP1/TUFM/GADD45GIP1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/COA3/MRPL40/MRPL21/MRPL53/MRPL23/MRPS17/MRPL20/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	48
GO:0043043	peptide biosynthetic process	119/748	330/4114	5.11589696599385e-16	4.24645705868803e-13	3.87108162753187e-13	MRPL43/MRPS24/RPL18/FTSJ1/MRPS34/MRPL22/RPS5/EIF3I/RPLP0/DHPS/MRPS18A/EIF3L/RPL3/GSS/EEF1D/RPS16/MRPL4/RPL18A/AIMP2/RPL28/RPL19/C1QBP/MRPL27/RPS13/GAPDH/MRPL18/HARS2/RPL24/EEF1B2/RPS15/MRPL37/MRPS15/EIF2B2/MRPS2/RPL5/TSFM/MRPS7/MRPS26/NGDN/NSUN5/EIF3G/RPL27/EEFSEC/CARS2/EIF4E2/TACO1/RPL35/RPS6/RPLP1/RPS2/EIF4A3/RPS11/RPL13A/RPS8/MRPL24/MRPL9/FARS2/RPL10/MRRF/RPL7A/RPS3/CDC123/OXA1L/EEF1A1/PINK1/RPL8/EIF4A1/RPL29/APEH/RPS14/METTL3/MRPL16/TRUB2/MRPL58/POLR2G/RPSA/CNBP/HARS1/RPS21/PPP1CA/TRMT112/MRPL57/MRPL11/RPL15/AURKAIP1/TYMS/TUFM/EIF3K/GADD45GIP1/PPA1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/RPL35A/COA3/MRPL40/MRPL21/RPS26/RPL37A/RPL12/RPL10A/RACK1/MRPL53/MRPL23/UBA52/TMA7/MRPS17/EIF6/MRPL20/EEF1G/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	119
GO:0055114	oxidation-reduction process	112/748	303/4114	5.47047608204578e-16	4.24645705868803e-13	3.87108162753187e-13	NDUFAB1/UQCRC1/BID/AIFM2/RETSAT/AKR7A2/NDUFB4/IDH3G/HSD17B10/SDHA/AKR1B1/PIR/COQ9/FH/PHGDH/PTGS1/NDUFB7/TECR/SLC25A17/IDH3B/HMOX2/GFUS/ECH1/NOP53/ETFB/PTGR1/GLRX3/NDUFC1/NDUFS8/GAPDH/TPI1/TP53I3/NDUFS7/SPR/QSOX1/PARK7/SDHB/P3H1/PRDX1/PRDX6/NDUFA8/ACAT2/PRDX4/NQO2/COX6B1/PRDX5/ECHS1/COX4I1/NDUFA2/PDHA1/CCNB1/ISCU/GRHPR/HADHB/NDUFA9/NDUFB10/SOD1/SELENBP1/PYCR2/SUMF1/HIGD2A/MDH2/NDUFB11/SURF1/PTGES2/GSTO1/OXA1L/DHRS4/HPD/PINK1/NDUFS2/CBR1/FDXR/SUCLG1/ALDH7A1/NDUFB8/PCBD1/DUS2/DHRS13/NDUFV1/PRDX2/SDHAF2/FTH1/COA6/PDHB/NDUFS5/UQCRFS1/PRELID1/DUS1L/GAA/PGAM1/PPP1CA/COX8A/TALDO1/IMPDH2/NDUFV2/P4HTM/COX5A/CYC1/NQO1/SHMT2/PYCR1/UQCR10/NDUFA12/P4HB/GSTK1/ECI2/UQCC3/TMX2/NDUFS3/ADSL/BCKDHA	112
GO:0043603	cellular amide metabolic process	146/748	441/4114	7.8912965251191e-16	4.74052100244497e-13	4.32147164185932e-13	MRPL43/MRPS24/RPL18/ELOVL1/PLPP1/FTSJ1/MRPS34/MRPL22/RPS5/GSTP1/EIF3I/RPLP0/DHPS/MRPS18A/ACOT7/TECR/EIF3L/RPL3/GSS/EEF1D/RPS16/MRPL4/RPL18A/AIMP2/RPL28/RPL19/C1QBP/MRPL27/RPS13/GAPDH/MRPL18/HARS2/PCCB/RPL24/EEF1B2/RPS15/HTRA2/MRPL37/PARK7/MRPS15/ACOT2/EIF2B2/PDZD11/MRPS2/RPL5/TSFM/ORMDL2/MRPS7/MRPS26/PIN1/NGDN/NSUN5/ASS1/EIF3G/RPL27/PDHA1/EEFSEC/GSTM3/CARS2/EIF4E2/TACO1/RPL35/RPS6/RPLP1/RPS2/EIF4A3/PLPP2/SOD1/RPS11/RPL13A/RPS8/MPC2/MRPL24/MRPL9/FARS2/RPL10/MRRF/RPL7A/RPS3/CDC123/OXA1L/EEF1A1/PINK1/RPL8/EIF4A1/RPL29/PMVK/APEH/RPS14/METTL3/MRPL16/TRUB2/MRPL58/POLR2G/RPSA/PDHB/GSTM4/CNBP/BTD/HARS1/PGAM1/RPS21/THOP1/PPP1CA/TRMT112/MRPL57/MRPL11/RPL15/AURKAIP1/TYMS/TUFM/EIF3K/GADD45GIP1/PPA1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/RPL35A/COA3/MRPL40/MRPL21/GSTK1/RPS26/PSAP/RPL37A/RPL12/RPL10A/NEU1/RACK1/MRPL53/MRPL23/UBA52/TMA7/MRPS17/EIF6/MRPL20/EEF1G/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	146
GO:0006518	peptide metabolic process	127/748	364/4114	9.16042705786469e-16	4.74052100244497e-13	4.32147164185932e-13	MRPL43/MRPS24/RPL18/FTSJ1/MRPS34/MRPL22/RPS5/GSTP1/EIF3I/RPLP0/DHPS/MRPS18A/EIF3L/RPL3/GSS/EEF1D/RPS16/MRPL4/RPL18A/AIMP2/RPL28/RPL19/C1QBP/MRPL27/RPS13/GAPDH/MRPL18/HARS2/RPL24/EEF1B2/RPS15/MRPL37/PARK7/MRPS15/EIF2B2/MRPS2/RPL5/TSFM/MRPS7/MRPS26/PIN1/NGDN/NSUN5/EIF3G/RPL27/EEFSEC/GSTM3/CARS2/EIF4E2/TACO1/RPL35/RPS6/RPLP1/RPS2/EIF4A3/SOD1/RPS11/RPL13A/RPS8/MRPL24/MRPL9/FARS2/RPL10/MRRF/RPL7A/RPS3/CDC123/OXA1L/EEF1A1/PINK1/RPL8/EIF4A1/RPL29/APEH/RPS14/METTL3/MRPL16/TRUB2/MRPL58/POLR2G/RPSA/GSTM4/CNBP/HARS1/RPS21/THOP1/PPP1CA/TRMT112/MRPL57/MRPL11/RPL15/AURKAIP1/TYMS/TUFM/EIF3K/GADD45GIP1/PPA1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/RPL35A/COA3/MRPL40/MRPL21/GSTK1/RPS26/RPL37A/RPL12/RPL10A/RACK1/MRPL53/MRPL23/UBA52/TMA7/MRPS17/EIF6/MRPL20/EEF1G/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	127
GO:0140053	mitochondrial gene expression	49/748	89/4114	2.84839250710226e-15	1.22624051721762e-12	1.11784413960444e-12	MRPL43/MRPS24/HSD17B10/MRPS34/MRPL22/MRPS18A/MRPL4/C1QBP/MRPL27/MRPL18/MRPL37/MRPS15/MRPS2/TSFM/MRPS7/MRPS26/TACO1/MRPL24/MRPL9/MRRF/OXA1L/MRPL16/TRUB2/MRPL58/HARS1/MRPL57/MRPL11/AURKAIP1/TUFM/GADD45GIP1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/COA3/MRPL40/MRPL21/MRPL53/MRPL23/MRPS17/MRPL20/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	49
GO:0007005	mitochondrion organization	90/748	226/4114	3.15939585756553e-15	1.22624051721762e-12	1.11784413960444e-12	NDUFAB1/SLC25A5/BID/ALAS1/BAK1/GABARAPL2/AIFM2/NDUFB4/HSD17B10/BAX/NDUFB7/TIMM13/SAMM50/RAB5IF/TIMM50/CDC37/PMPCB/SSBP1/CHCHD2/NDUFC1/AIP/NDUFS8/ATP5F1B/TIMMDC1/NDUFS7/HTRA2/PARK7/ATP5PB/RAB32/NDUFA8/TIMM17B/TOMM40/NDUFA2/IMMT/TIMM17A/ATP5MC2/TACO1/NDUFA9/NOL3/RHOT2/NDUFB10/TIMM29/HAX1/HIGD2A/NDUFB11/SURF1/SLC25A4/ATP5F1A/ATP5MC3/ATP5PF/OXA1L/NDUFAF6/PINK1/NDUFS2/ATP5MC1/SQSTM1/MAIP1/CDK5/STOML2/FUNDC2/NDUFB8/PHB/ATP5MG/NDUFV1/SDHAF2/NDUFS5/SLC25A6/PRELID1/TRIAP1/MTX1/MICOS10/MICOS13/SFN/TIMM22/NDUFAF3/NDUFV2/COA4/COA3/UQCR10/NDUFA12/APOO/UBE2L3/UQCC3/NDUFS3/PHB2/ATP5MF/ATP5PO/MTFP1/TIMM23/RCC1L	90
GO:0043604	amide biosynthetic process	126/748	370/4114	1.05263349302741e-14	3.63158555094457e-12	3.31056311432832e-12	MRPL43/MRPS24/RPL18/ELOVL1/FTSJ1/MRPS34/MRPL22/RPS5/EIF3I/RPLP0/DHPS/MRPS18A/TECR/EIF3L/RPL3/GSS/EEF1D/RPS16/MRPL4/RPL18A/AIMP2/RPL28/RPL19/C1QBP/MRPL27/RPS13/GAPDH/MRPL18/HARS2/RPL24/EEF1B2/RPS15/MRPL37/MRPS15/EIF2B2/MRPS2/RPL5/TSFM/ORMDL2/MRPS7/MRPS26/NGDN/NSUN5/ASS1/EIF3G/RPL27/PDHA1/EEFSEC/CARS2/EIF4E2/TACO1/RPL35/RPS6/RPLP1/RPS2/EIF4A3/RPS11/RPL13A/RPS8/MPC2/MRPL24/MRPL9/FARS2/RPL10/MRRF/RPL7A/RPS3/CDC123/OXA1L/EEF1A1/PINK1/RPL8/EIF4A1/RPL29/APEH/RPS14/METTL3/MRPL16/TRUB2/MRPL58/POLR2G/RPSA/PDHB/CNBP/HARS1/RPS21/PPP1CA/TRMT112/MRPL57/MRPL11/RPL15/AURKAIP1/TYMS/TUFM/EIF3K/GADD45GIP1/PPA1/MRPL14/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/RPL35A/COA3/MRPL40/MRPL21/RPS26/RPL37A/RPL12/RPL10A/RACK1/MRPL53/MRPL23/UBA52/TMA7/MRPS17/EIF6/MRPL20/EEF1G/MPV17L2/MRPL46/MRPL12/MRPS21/RCC1L/MRPL45	126
GO:0006091	generation of precursor metabolites and energy	84/748	216/4114	1.45699638000495e-13	4.1506117617762e-11	3.78370879817483e-11	NDUFAB1/UQCRC1/BID/AIFM2/AKR7A2/NDUFB4/IDH3G/SDHA/AKR1B1/COQ9/FH/PHGDH/AAAS/NDUFB7/IDH3B/GFUS/NOP53/ETFB/GLRX3/NDUFC1/NDUFS8/ATP5F1B/GAPDH/TPI1/NDUFS7/PARK7/ATP5PB/SDHB/NDUFA8/NQO2/COX6B1/COX4I1/NDUFA2/PDHA1/CCNB1/ATP5MC2/ISCU/TACO1/NDUFA9/NDUFB10/MDH2/NDUFB11/SURF1/PTGES2/SLC25A4/ATP5F1A/ATP5MC3/ATP5PF/OXA1L/SEC13/PINK1/NDUFS2/ATP5MC1/FDXR/JMJD8/SUCLG1/STOML2/NDUFB8/ATP5MG/NDUFV1/SDHAF2/COA6/PDHB/NDUFS5/UQCRFS1/PRELID1/GAA/PGAM1/PPP1CA/COX8A/TALDO1/NDUFV2/COX5A/CYC1/SHMT2/UQCR10/NDUFA12/UQCC3/NDUFS3/PHB2/ADSL/ATP5MF/ATP5PO/EIF6	84
