gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000006327	ENSG00000006327	6	ENSG00000006327	protein_coding	TNFRSF12A	51330	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	16	3018445	3022383	1
ENSG00000014824	ENSG00000014824	6	ENSG00000014824	protein_coding	SLC30A9	10463	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	4	41990502	42090461	1
ENSG00000025708	ENSG00000025708	6	ENSG00000025708	protein_coding	TYMP	1890	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	22	50525752	50530032	-1
ENSG00000036549	ENSG00000036549	6	ENSG00000036549	protein_coding	ZZZ3	26009	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]	1	77562416	77683419	-1
ENSG00000044459	ENSG00000044459	6	ENSG00000044459	protein_coding	CNTLN	54875	centlein [Source:HGNC Symbol;Acc:HGNC:23432]	9	17134982	17503923	1
ENSG00000050344	ENSG00000050344	6	ENSG00000050344	protein_coding	NFE2L3	9603	NFE2 like bZIP transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:7783]	7	26152198	26187137	1
ENSG00000054282	ENSG00000054282	6	ENSG00000054282	protein_coding	SDCCAG8	10806	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	1	243256034	243500091	1
ENSG00000054598	ENSG00000054598	6	ENSG00000054598	protein_coding	FOXC1	2296	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	6	1609915	1613897	1
ENSG00000064933	ENSG00000064933	6	ENSG00000064933	protein_coding	PMS1	5378	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]	2	189784085	189877629	1
ENSG00000066427	ENSG00000066427	6	ENSG00000066427	protein_coding	ATXN3	4287	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	14	92044496	92106621	-1
ENSG00000067167	ENSG00000067167	6	ENSG00000067167	protein_coding	TRAM1	23471	translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]	8	70573218	70608416	-1
ENSG00000067533	ENSG00000067533	6	ENSG00000067533	protein_coding	RRP15	51018	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]	1	218285293	218337983	1
ENSG00000070495	ENSG00000070495	6	ENSG00000070495	protein_coding	JMJD6	23210	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	17	76712832	76726799	-1
ENSG00000070950	ENSG00000070950	6	ENSG00000070950	protein_coding	RAD18	56852	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	3	8775402	8963773	-1
ENSG00000071243	ENSG00000071243	6	ENSG00000071243	protein_coding	ING3	54556	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	7	120950763	120977216	1
ENSG00000075151	ENSG00000075151	6	ENSG00000075151	protein_coding	EIF4G3	8672	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1	20806292	21177285	-1
ENSG00000077150	ENSG00000077150	6	ENSG00000077150	protein_coding	NFKB2	4791	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	10	102394110	102402524	1
ENSG00000078043	ENSG00000078043	6	ENSG00000078043	protein_coding	PIAS2	9063	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	18	46803218	46920160	-1
ENSG00000078804	ENSG00000078804	6	ENSG00000078804	protein_coding	TP53INP2	58476	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	20	34704339	34713439	1
ENSG00000083799	ENSG00000083799	6	ENSG00000083799	protein_coding	CYLD	1540	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	16	50742050	50801935	1
ENSG00000085491	ENSG00000085491	6	ENSG00000085491	protein_coding	SLC25A24	29957	solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]	1	108134043	108200849	-1
ENSG00000086619	ENSG00000086619	6	ENSG00000086619	protein_coding	ERO1B	56605	endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]	1	236214681	236282019	-1
ENSG00000089006	ENSG00000089006	6	ENSG00000089006	protein_coding	SNX5	27131	sorting nexin 5 [Source:HGNC Symbol;Acc:HGNC:14969]	20	17941597	17968980	-1
ENSG00000095564	ENSG00000095564	6	ENSG00000095564	protein_coding	BTAF1	9044	B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307]	10	91923770	92031437	1
ENSG00000095574	ENSG00000095574	6	ENSG00000095574	protein_coding	IKZF5	64376	IKAROS family zinc finger 5 [Source:HGNC Symbol;Acc:HGNC:14283]	10	122990807	123008812	-1
